Wavelength (nm),% Transmission,Optical Density
2003,24.35723,0.61337
2002,24.18527,0.61645
2001,24.02239,0.61938
2000,23.83955,0.6227
1999,23.65249,0.62612
1998,23.44828,0.62989
1997,23.28857,0.63286
1996,23.15136,0.63542
1995,22.98779,0.6385
1994,22.78661,0.64232
1993,22.66056,0.64473
1992,22.53525,0.64714
1991,22.42168,0.64933
1990,22.28255,0.65204
1989,22.14912,0.65464
1988,22.02444,0.6571
1987,21.95357,0.65849
1986,21.8439,0.66067
1985,21.72515,0.66304
1984,21.61253,0.66529
1983,21.54459,0.66666
1982,21.49424,0.66768
1981,21.40809,0.66942
1980,21.34087,0.67079
1979,21.24056,0.67283
1978,21.23063,0.67304
1977,21.17634,0.67415
1976,21.14131,0.67487
1975,21.06908,0.67635
1974,21.06232,0.67649
1973,21.03565,0.67704
1972,21.06136,0.67651
1971,21.00763,0.67762
1970,21.02435,0.67728
1969,21.05142,0.67672
1968,21.09449,0.67583
1967,21.10638,0.67559
1966,21.13582,0.67498
1965,21.19209,0.67383
1964,21.23948,0.67286
1963,21.32711,0.67107
1962,21.36753,0.67025
