Wavelength (nm),% Transmission,Optical Density
2184,53.92473,0.26821
2183,54.33206,0.26494
2182,54.7309,0.26177
2181,55.08437,0.25897
2180,55.40913,0.25642
2179,55.70544,0.2541
2178,55.94154,0.25227
2177,56.11851,0.25089
2176,56.24741,0.2499
2175,56.30004,0.24949
2174,56.30002,0.24949
2173,56.19075,0.25034
2172,56.01432,0.2517
2171,55.73864,0.25384
2170,55.41349,0.25638
2169,55.00025,0.25964
2168,54.58397,0.26293
2167,54.14862,0.26641
2166,53.77776,0.2694
2165,53.49393,0.2717
2164,53.33615,0.27298
2163,53.30142,0.27326
2162,53.40856,0.27239
2161,53.6129,0.27073
2160,53.94478,0.26805
2159,54.3516,0.26479
2158,54.75832,0.26155
2157,55.21765,0.25792
2156,55.65334,0.25451
2155,56.06006,0.25135
2154,56.41671,0.24859
2153,56.73828,0.24612
2152,56.95834,0.24444
2151,57.12247,0.24319
2150,57.20317,0.24258
2149,57.21806,0.24247
2148,57.14482,0.24302
2147,57.01274,0.24403
2146,56.78725,0.24575
2145,56.52187,0.24778
2144,56.17626,0.25045
2143,55.79163,0.25343
2142,55.36414,0.25677
2141,54.89927,0.26043
2140,54.4082,0.26434
2139,53.97577,0.2678
2138,53.54604,0.27127
2137,53.19272,0.27415
2136,52.90056,0.27654
2135,52.70555,0.27814
2134,52.59333,0.27907
2133,52.56455,0.27931
2132,52.59765,0.27903
2131,52.66095,0.27851
2130,52.71673,0.27805
2129,52.74712,0.2778
2128,52.72378,0.27799
2127,52.65062,0.2786
2126,52.49105,0.27991
2125,52.28091,0.28166
2124,52.01638,0.28386
2123,51.69698,0.28653
2122,51.35867,0.28939
2121,50.96346,0.29274
2120,50.57835,0.29604
2119,50.16875,0.29957
2118,49.75459,0.30317
2117,49.31933,0.30698
2116,48.88566,0.31082
2115,48.41142,0.31505
2114,47.92705,0.31942
2113,47.44761,0.32379
2112,46.94067,0.32845
2111,46.43479,0.33316
2110,45.92132,0.33799
2109,45.38024,0.34313
2108,44.83936,0.34834
2107,44.29194,0.35368
2106,43.76839,0.35884
2105,43.20611,0.36445
2104,42.65567,0.37002
2103,42.09481,0.37577
2102,41.51371,0.38181
2101,40.94532,0.3878
2100,40.38799,0.39375
2099,39.81553,0.39995
2098,39.2452,0.40621
2097,38.69213,0.41238
2096,38.10959,0.41897
2095,37.5296,0.42563
2094,36.98218,0.43201
2093,36.43012,0.43854
2092,35.88659,0.44507
2091,35.33639,0.45178
2090,34.80164,0.4584
2089,34.24987,0.46534
2088,33.71257,0.47221
2087,33.21479,0.47867
2086,32.6909,0.48557
2085,32.1907,0.49227
2084,31.69921,0.49895
2083,31.19586,0.5059
2082,30.70866,0.51274
2081,30.24296,0.51938
2080,29.77974,0.52608
2079,29.32203,0.53281
2078,28.8824,0.53937
2077,28.44196,0.54604
2076,27.99891,0.55286
2075,27.5797,0.55941
2074,27.16674,0.56596
2073,26.75747,0.57255
2072,26.35795,0.57909
2071,25.9756,0.58543
2070,25.57548,0.59218
2069,25.18685,0.59883
2068,24.83261,0.60498
2067,24.46756,0.61141
2066,24.10774,0.61784
2065,23.76504,0.62406
2064,23.41775,0.63045
2063,23.07445,0.63687
2062,22.74652,0.64308
2061,22.43697,0.64904
2060,22.11762,0.65526
2059,21.8098,0.66135
2058,21.51255,0.66731
2057,21.20365,0.67359
2056,20.91239,0.6796
2055,20.63311,0.68544
2054,20.3606,0.69121
2053,20.09363,0.69694
2052,19.83536,0.70256
2051,19.57362,0.70833
2050,19.31386,0.71413
2049,19.07377,0.71956
2048,18.83581,0.72502
2047,18.61168,0.73021
2046,18.38666,0.7355
2045,18.16737,0.74071
2044,17.9464,0.74602
2043,17.7364,0.75113
2042,17.54146,0.75593
2041,17.34438,0.76084
2040,17.1556,0.76559
2039,16.97803,0.77011
2038,16.79465,0.77483
2037,16.61519,0.77949
2036,16.45362,0.78374
2035,16.29476,0.78795
2034,16.13526,0.79222
2033,15.98519,0.79628
2032,15.83817,0.80029
2031,15.69103,0.80435
2030,15.54947,0.80828
2029,15.41446,0.81207
2028,15.28445,0.81575
2027,15.15566,0.81943
2026,15.03109,0.82301
2025,14.91155,0.82648
2024,14.79344,0.82993
2023,14.68518,0.83312
2022,14.57641,0.83635
2021,14.47299,0.83944
2020,14.37164,0.84249
2019,14.27861,0.84531
2018,14.17974,0.84833
2017,14.09186,0.85103
2016,14.00859,0.85361
2015,13.92638,0.85616
2014,13.84969,0.85856
2013,13.77293,0.86097
2012,13.7003,0.86327
2011,13.63763,0.86526
